Time,A,B,C,D
2023-04-16 20:21:15,0.240,0.295,0.210,0.885
2023-04-16 20:21:20,1.79,2.61,0.570,1.31
2023-04-16 20:21:25,4.69,6.45,3.54,3.84
2023-04-16 20:21:30,9.86,11.5,8.29,7.91
2023-04-16 20:21:35,17.1,18.6,15.5,13.2
2023-04-16 20:21:40,25.9,28.2,23.3,21.3
2023-04-16 20:21:45,34.6,36.1,33.4,30.7
2023-04-16 20:21:50,44.4,45.0,43.0,39.3
2023-04-16 20:21:55,53.6,54.3,52.7,48.2
2023-04-16 20:22:00,62.0,63.6,60.6,57.8
2023-04-16 20:22:05,70.7,71.6,70.1,66.1
2023-04-16 20:22:10,79.7,80.5,78.8,74.2
2023-04-16 20:22:15,86.9,87.6,86.1,82.5
2023-04-16 20:22:20,92.5,93.3,91.6,89.4
2023-04-16 20:22:25,96.9,96.8,96.4,94.3
2023-04-16 20:22:30,99.3,99.1,99.2,97.7
2023-04-16 20:22:35,100,100,100,99.7
2023-04-16 20:22:40,100,100,100,100
2023-04-16 20:22:45,100,100,100,100
2023-04-16 20:22:50,100,100,100,100
2023-04-16 20:22:55,100,100,100,100
2023-04-16 20:23:00,100,100,100,100
2023-04-16 20:23:05,100,100,100,100
2023-04-16 20:23:10,100,100.0,100,100
2023-04-16 20:23:15,100,100.0,100,100

